GLOTTOCODE	GLOTTOLOG_NAME	NAME_KEY	GENUS	FAMILY	ISO639Pcode	LEVEL	MACROAREAS	LATITUDE	LONGITUDE	LINEAGE
abam1239	Abam	Abam	Western Fly	Eastern Trans-Fly		dialect	Papunesia			east2503;wipi1242
aban1242	Abanyom	Abanyom	Bantoid	Atlantic-Congo		language	Africa	6.3062	8.6305	atla1278;volt1241;benu1247;bant1294;sout3152;ekoi1237;ekoi1236;ejag1240;bako1254;aban1244
aban1243	Abancay	Abancay	Quechuan	Quechuan		dialect	South America			quec1387;quec1388;quec1389;cusc1235;east2551
abar1238	Mungbam	Mungbam	Bantoid	Atlantic-Congo		language	Africa	6.5805	10.2267	atla1278;volt1241;benu1247;bant1294;sout3152
abau1245	Abau	Abau	Upper Sepik	Sepik		language	Papunesia	-3.9722	141.3240	sepi1257
abaw1238	Abawa	Abawa	Nupoid	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;ebir1244;nupe1252;nupo1239;dibo1249;dibo1250;kami1262;gupa1248
abay1238	Abayongo	Abayongo	Cross River	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;delt1251;uppe1418;cent2027;nort2790;ubag1244;kohu1243;agwa1247
abaz1241	Abaza	Abaza	Northwest Caucasian	Abkhaz-Adyge		language	Eurasia	44.2500	42.0000	abkh1242;abkh1243
abbe1238	Abbey-Ve	AbbeyVe	Kwa	Atlantic-Congo		dialect	Africa			atla1278;volt1241;kwav1236;nyoa1234;agne1238;abee1242
abbr1238	Abbruzzesi	Abbruzzesi	Indic	Indo-European		dialect	Eurasia			indo1319;indo1320;indo1321;indo1322;roma1329;roma1330;nort3197;sint1235;sout3309
abda1238	'Abd Al-Kuri	AbdAlKuri	Semitic	Afro-Asiatic		dialect	Eurasia			afro1255;semi1276;west2786;mode1252;east2766;soqo1240
abed1238	Abedju-Azaki	AbedjuAzaki	Moru-Ma'di	Central Sudanic		dialect	Africa			cent2225;moru1252;cent2043;lugb1240
abee1242	Abé	Abe	Kwa	Atlantic-Congo		language	Africa	5.5968	-4.3850	atla1278;volt1241;kwav1236;nyoa1234;agne1238
abee1243	Abe (Anyin)	AbeAnyin	Kwa	Atlantic-Congo		dialect	Africa			atla1278;volt1241;kwav1236;nyoa1234;poto1254;tano1248;cent2262;biaa1238;nort2767;anyi1246;anyi1245
aben1247	Abeng	Abeng	Bodo-Garo	Sino-Tibetan		dialect	Eurasia			sino1245;brah1260;bodo1279;garo1247
aben1248	A'beng	Abeng	Bodo-Garo	Sino-Tibetan		dialect	Eurasia			sino1245;brah1260;bodo1279;garo1247
aben1249	Abenlen Ayta	AbenlenAyta	Central Luzon	Austronesian		language	Papunesia	15.4131	120.2000	aust1307;mala1545;cent2080;samb1319;abel1234
abgu1238	Abgue	Abgue	East Chadic	Afro-Asiatic		dialect	Africa			afro1255;chad1250;east2632;east2633;east2709;dang1275;birg1240;birg1239
abid1235	Abidji	Abidji	Kwa	Atlantic-Congo		language	Africa	5.6566	-4.5842	atla1278;volt1241;kwav1236;nyoa1234;agne1238
abie1238	Abiem	Abiem	Nilotic	Nilotic		dialect	Africa			nilo1247;west2493;dink1261;dink1262;sout2832
abig1238	Abigar	Abigar	Nilotic	Nilotic		dialect	Africa			nilo1247;west2493;dink1261;nuer1245;nuer1246
abil1238	Abiliang	Abiliang	Nilotic	Nilotic		dialect	Africa			nilo1247;west2493;dink1261;dink1262;nort2815
abin1242	Abini	Abini	Cross River	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;delt1251;uppe1418;cent2027;nort2790;ubag1244;kohu1243;agwa1247
abin1243	Abinomn	Abinomn	Abinomn	Abinomn		language	Papunesia	-2.9228	138.8910	
abip1241	Abipon	Abipon	South Guaicuruan	Guaicuruan		language	South America	-29.0000	-61.0000	guai1249;guai1250
abis1238	Aewa	Aewa	Aewa	Aewa		language	South America	-1.2841	-75.0844	
abka1238	Abkar	Abkar	Maban	Maban		dialect	Africa			maba1274;maba1275;maba1276;nucl1441;maba1277
abkh1244	Abkhazian	Abkhazian	Northwest Caucasian	Abkhaz-Adyge		language	Eurasia	43.0562	41.1591	abkh1242;abkh1243
able1237	Ableg-Salegseg	AblegSalegseg	Northern Luzon	Austronesian		dialect	Papunesia			aust1307;mala1545;nort3238;meso1254;sout3211;cent2296;nort3240;kali1310;kali1311;cent2282;lubu1243
abom1238	Abom	Abom	Marind Proper	Anim		language	Papunesia	-8.4245	142.8420	anim1240;tiri1259
abon1238	Abon	Abon	Bantoid	Atlantic-Congo		language	Africa	6.9062	10.8769	atla1278;volt1241;benu1247;bant1294;sout3152;tivo1239;nort3192
aboo1241	Abo (Bokyi)	AboBokyi	Bantoid	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;bant1294;sout3152;bend1256;boky1238
aboo1242	Abo	Abo	Igboid	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;igbo1258;igbo1259;ukwu1241
abou1238	Abou Charib	AbouCharib	Taman	Tamaic		dialect	Africa			tama1329;mara1396
abra1237	Abra-De-Ilog	AbraDeIlog	North Mangyan	Austronesian		dialect	Papunesia			aust1307;mala1545;nort2873;iray1237
abro1238	Abron	Abron	Kwa	Atlantic-Congo		language	Africa	7.7209	-2.5029	atla1278;volt1241;kwav1236;nyoa1234;poto1254;tano1248;cent2262;akan1251
abru1239	Abruzzese-Calabrian-Molisean Romani	AbruzzeseCalabrianMoliseanRomani	Indic	Indo-European		dialect	Eurasia			indo1319;indo1320;indo1321;indo1322;roma1329;balk1252
absh1238	Absheron	Absheron	Iranian	Indo-European		dialect	Eurasia			indo1319;indo1320;iran1269;sout3157;midd1352;mode1259;fars1254;cauc1242;musl1236
abua1244	Abua	Abua	Cross River	Atlantic-Congo		language	Africa	4.8306	6.6149	atla1278;volt1241;benu1247;delt1251;cent2028;abua1243
abua1245	Abu' Arapesh	AbuArapesh	Kombio-Arapesh	Nuclear Torricelli		language	Papunesia	-3.4616	142.9170	nucl1708;komb1276;arap1279;mufi1239;buki1250
abui1241	Abui	Abui	Greater Alor	Timor-Alor-Pantar		language	Papunesia	-8.3106	124.5880	timo1261;alor1249;alor1250
abuj1237	Abujmaria	Abujmaria	South-Central Dravidian	Dravidian		dialect	Eurasia			drav1251;sout3133;sout3139;gond1265;sout3234;mari1414
abul1238	Abuldugu	Abuldugu	Nilotic	Nilotic		dialect	Africa			nilo1247;west2493;luob1235;buru1301
abun1252	Abun	Abun	Abun	Abun		language	Papunesia	-0.5707	132.4160	
abun1253	Abun Je	AbunJe	Abun	Abun		dialect	Papunesia			abun1252
abun1254	Abun Tat	AbunTat	Abun	Abun		dialect	Papunesia			abun1252
abun1255	Abun Ji	AbunJi	Abun	Abun		dialect	Papunesia			abun1252
abur1243	Abure	Abure	Kwa	Atlantic-Congo		language	Africa	5.2153	-3.6412	atla1278;volt1241;kwav1236;nyoa1234;poto1254;tano1248;west2816
abur1244	Abureni	Abureni	Cross River	Atlantic-Congo		language	Africa	4.6230	6.5063	atla1278;volt1241;benu1247;delt1251;cent2028;kugb1242
abus1238	Abu Sinun	AbuSinun	Kadugli	Kadugli-Krongo		dialect	Africa			kadu1256;cent2229;katc1251;kang1288
abuu1241	Abu	Abu	Ramu	Lower Sepik-Ramu		language	Papunesia	-4.2403	144.4740	lowe1437;ramu1234;agoa1234
abzh1238	Abzhui	Abzhui	Northwest Caucasian	Abkhaz-Adyge		dialect	Eurasia			abkh1242;abkh1243;abkh1244
acad1238	Acadian	Acadian	Romance	Indo-European		dialect	Eurasia			indo1319;ital1284;lati1262;lati1263;impe1234;roma1334;ital1285;west2813;shif1234;nort3208;gall1280;oila1234;cent2283;macr1273;glob1239;stan1290
acat1239	Acatepec Me'phaa	AcatepecMephaa	Subtiaba-Tlapanec	Otomanguean		language	North America	17.1034	-99.0602	otom1299;west2783;tlap1252;subt1249;meph1234
acat1240	Acatepec	Acatepec	Subtiaba-Tlapanec	Otomanguean		dialect	North America			otom1299;west2783;tlap1252;subt1249;meph1234;acat1239
acch1238	Acchami	Acchami	Indic	Indo-European		dialect	Eurasia			indo1319;indo1320;indo1321;indo1310;east1436;nepa1254
acha1249	Longchuan Achang	LongchuanAchang	Burmese-Lolo	Sino-Tibetan		language	Eurasia	24.3479	97.7438	sino1245;burm1265;lolo1265;burm1266;nort2720;high1273;acha1252
acha1250	Achagua	Achagua	Inland Northern Arawakan	Arawakan		language	South America	4.3865	-72.2005	araw1281;nort2990;inla1264;japu1236;nucl1764;piap1247
ache1244	Ache	Ache	Burmese-Lolo	Sino-Tibetan		language	Eurasia	24.1520	102.4460	sino1245;burm1265;lolo1265;lolo1267;nili1235;sout3212;niso1234;uncl1517
ache1245	Acheron	Acheron	Talodi	Narrow Talodi		language	Africa	10.8827	30.3187	narr1279;bura1298;ache1247
ache1246	Aché	Ache	Tupi-Guaraní	Tupian		language	South America	-25.5865	-56.4697	tupi1275;mawe1252;awet1245;tupi1276;sout3271;tupi1277
achi1247	Achik	Achik	Bodo-Garo	Sino-Tibetan		dialect	Eurasia			sino1245;brah1260;bodo1279;garo1247
achi1255	A'chick	Achick	Bodo-Garo	Sino-Tibetan		dialect	Eurasia			sino1245;brah1260;bodo1279;garo1247
achi1256	Achi	Achi	Mayan	Mayan		language	North America	15.0730	-90.3513	maya1287;core1254;quic1274;grea1276;core1251;quic1275
achi1257	Acehnese	Acehnese	Malayo-Sumbawan	Austronesian		language	Eurasia	3.9076	96.6032	aust1307;mala1545;mala1536;nort3170;cham1327
acht1238	Achterhoeks	Achterhoeks	Germanic	Indo-European		dialect	Eurasia	52.0210	6.4752	indo1319;germ1287;nort3152;west2793;nort3175;alts1234;midd1345;lowg1239;west2357;west2356
achu1247	Achumawi	Achumawi	Palaihnihan	Palaihnihan		language	North America	41.0979	-121.1910	pala1350
achu1248	Achuar-Shiwiar	AchuarShiwiar	Jivaroan	Chicham		language	South America	-2.8265	-77.2641	jiva1245;shua1256
achu1249	Achuar	Achuar	Jivaroan	Chicham		dialect				jiva1245;shua1256;achu1248
acii1238	Aci	Aci	Madang	Nuclear Trans New Guinea		dialect	Papunesia			nucl1709;mada1298;kala1403;sout3148;soge1235;cent2257;apal1256
acod1234	Acodi	Acodi	Dani	Nuclear Trans New Guinea		dialect				nucl1709;dani1287;wano1243;east2809
acol1236	Acoli	Acoli	Nilotic	Nilotic		language	Africa	3.5774	32.5147	nilo1247;west2493;luob1235;sout2831
acom1246	Acoma	Acoma	Keresan	Keresan		dialect	North America			kere1287;west2632
acro1239	Acroá	Acroa	Ge-Kaingang	Nuclear-Macro-Je		language	South America	-12.5940	-40.2144	nucl1710;jeee1236;jece1235
adaa1238	Ada	Ada	Kwa	Atlantic-Congo		dialect	Africa			atla1278;volt1241;kwav1236;gada1257;adan1247
adai1235	Adai	Adai	Adai	Adai		language	North America	31.6314	-92.0059	
adam1238	Adamorobe Sign Language	AdamorobeSignLanguage	Sign Languages	Sign Language		language	Africa	5.8340	-0.1510	sign1238;vill1244
adam1253	Adamawa Fulfulde	AdamawaFulfulde	Northern Atlantic	Atlantic-Congo		language	Africa	8.1403	13.0773	atla1278;nort3146;peul1234;fula1264;fula1265;adam1260
adan1247	Adangme	Adangme	Kwa	Atlantic-Congo		language	Africa	5.9437	0.1324	atla1278;volt1241;kwav1236;gada1257
adan1248	Adangbe	Adangbe	Kwa	Atlantic-Congo		language	Africa	6.5055	0.7272	atla1278;volt1241;kwav1236;gbee1241;west2802;ewei1234
adan1249	Adan	Adan	Kwa	Atlantic-Congo		dialect	Africa			atla1278;volt1241;kwav1236;gbee1241;west2802;ewei1234;ewee1241
adan1250	Adang (Lundayeh)	AdangLundayeh	North Borneo	Austronesian		dialect	Papunesia			aust1307;mala1545;nort3253;nort3171;kela1257;lund1271
adan1251	Adang	Adang	Greater Alor	Timor-Alor-Pantar		language	Papunesia	-8.1896	124.4480	timo1261;alor1249;alor1250;west2787;stra1245;adan1252
adar1242	Adarawa	Adarawa	West Chadic	Afro-Asiatic		dialect	Africa			afro1255;chad1250;west2785;west2714;west2718;haus1257;west2719
adas1235	Adasen	Adasen	Malayo-Polynesian	Austronesian		language	Papunesia	17.8187	120.9050	aust1307;mala1545;nort3238;caga1241;iban1268
adel1244	Adele	Adele	Kwa	Atlantic-Congo		language	Africa	8.1698	0.6192	atla1278;volt1241;kwav1236;nato1234;basi1245
aden1241	Adeni	Adeni	Semitic	Afro-Asiatic		dialect	Africa			afro1255;semi1276;west2786;cent2236;arab1394;arab1395;arab1393;taiz1242
aden1242	'Aden	Aden	Semitic	Afro-Asiatic		dialect	Eurasia			afro1255;semi1276;west2786;cent2236;arab1394;arab1395;arab1393;jude1267
ader1239	Aderawa	Aderawa	West Chadic	Afro-Asiatic		dialect	Africa			afro1255;chad1250;west2785;west2714;west2718;haus1257
adew1237	Adewada	Adewada	South-Central Dravidian	Dravidian		dialect	Eurasia			drav1251;sout3133;sout3139;gond1265;sout3234;mari1414
adga1237	Adgawan	Adgawan	Greater Central Philippine	Austronesian		dialect	Papunesia			aust1307;mala1545;grea1284;mano1276;cent2255;east2778;east2742;east2478;agus1235
adha1237	Adham	Adham	Malayo-Sumbawan	Austronesian		dialect	Eurasia			aust1307;mala1545;mala1536;nort3170;cham1327;cham1330;high1280;rade1241;rade1240
adha1238	Adhari	Adhari	Iranian	Indo-European		language	Eurasia	40.0500	48.0600	indo1319;indo1320;iran1269;cent2317;cent2318;nort3177;tati1243
adho1243	Adhola	Adhola	Nilotic	Nilotic		language	Africa	0.7323	34.0341	nilo1247;west2493;luob1235;sout2831;adho1241;adho1242
adib1240	Adibom	Adibom	Cross River	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;delt1251;cent2028;abua1243;odua1238
adid1237	Adi Dravida	AdiDravida	Southern Dravidian	Dravidian		dialect	Eurasia			drav1251;sout3133;sout3138;tami1291;tami1292;tami1293;tami1294;tami1297;tami1298;tami1299;tami1300;tami1289
adie1238	Adie	Adie	Bantoid	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;bant1294;sout3152;narr1281;bant1295;basa1283;basa1289;bako1249
adih1238	Adihup	Adihup	Hatam	Hatam-Mansim		dialect	Papunesia			hata1242;hata1243
adij1237	Adijaya	Adijaya	Central Malayo-Polynesian	Austronesian		dialect	Papunesia			aust1307;mala1545;cent2237;cent2245;kowi1239
adim1238	Adim	Adim	Cross River	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;delt1251;uppe1418;cent2027;nort2790;ubag1244;kohu1243;agwa1247
adio1239	Adioukrou	Adioukrou	Kwa	Atlantic-Congo		language	Africa	5.3823	-4.5252	atla1278;volt1241;kwav1236;nyoa1234;agne1238
adiv1238	Adivasi Wagdi	AdivasiWagdi	Indic	Indo-European		dialect	Eurasia			indo1319;indo1320;indo1321;indo1322;subc1234;bhil1254;wagd1238
adiv1239	Kotia-Adivasi Oriya-Desiya	KotiaAdivasiOriyaDesiya	Indic	Indo-European		language	Eurasia	18.1046	82.8487	indo1319;indo1320;indo1321;indo1323;oriy1254;macr1269
adiw1235	Adiwasi Garasia	AdiwasiGarasia	Indic	Indo-European		language	Eurasia	24.0712	73.1426	indo1319;indo1320;indo1321;indo1322;subc1234;bhil1254;gara1268
adiy1237	Adiya	Adiya	Southern Dravidian	Dravidian		dialect	Eurasia			drav1251;sout3133;sout3138;tami1291;tami1292;tami1293;tami1294;tami1297;tami1298;mala1541;ravu1238;ravu1237
adja1238	Adjabdurah	Adjabdurah	Central Pama-Nyungan	Pama-Nyungan		dialect	Australia			pama1250;aran1266;thur1253;core1260;sout2760;naru1238
adju1239	Adjumani	Adjumani	Moru-Ma'di	Central Sudanic		dialect	Africa			cent2225;moru1252;sout2827;madi1260
adku1239	Adkuri	Adkuri	Indic	Indo-European		dialect	Eurasia			indo1319;indo1320;indo1321;indo1323;halb1246;halb1244
adny1235	Adnyamathanha	Adnyamathanha	Central Pama-Nyungan	Pama-Nyungan		language	Australia	-30.1451	138.6710	pama1250;aran1266;thur1253;core1260;nort2752
adom1238	Adoma	Adoma	Kainji	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;kain1275;cent2242;duka1247;clel1239;clel1238
adon1237	Adonara	Adonara	Central Malayo-Polynesian	Austronesian		language	Papunesia	-8.3203	123.1590	aust1307;mala1545;cent2237;cent2245;flor1239;sika1265;lama1292;lama1293;nort3216
adoo1237	Ado	Ado	Celebic	Austronesian		dialect	Papunesia			aust1307;mala1545;cele1242;kail1255;kail1253;nort2898;kail1254;ledo1238
adoy1238	Adoyo	Adoyo	Nilotic	Nilotic		dialect	Africa			nilo1247;west2493;luob1235;nort2814;anua1242
adun1238	Adun	Adun	Cross River	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;delt1251;uppe1418;cent2027;east2400;mbem1251;cros1244
aduu1238	Adu	Adu	North Halmaheran	North Halmahera		dialect	Papunesia			nort2923;nort2924;main1282;taba1263
adyg1241	Adyghe	Adyghe	Northwest Caucasian	Abkhaz-Adyge		language	Eurasia	44.0000	39.3300	abkh1242;circ1239
adze1240	Adzera	Adzera	Oceanic	Austronesian		language	Papunesia	-6.3939	146.2940	aust1307;mala1545;cent2237;east2712;ocea1241;west2818;nort3206;huon1245;mark1257;uppe1423
adzh1238	Adzhar	Adzhar	Kartvelian	Kartvelian		dialect	Eurasia			kart1248;geor1252;geor1253;nucl1302
aegi1237	Aegina	Aegina	Greek	Indo-European		dialect	Eurasia			indo1319;grae1234;gree1276;east2798;koin1234;nucl1783;mode1248;sout2605;ioni1242;sout3279
aeka1244	Aeka	Aeka	Binanderean	Nuclear Trans New Guinea		language	Papunesia	-8.8551	147.9948	nucl1709;bina1276;bina1279;nucl1603;sout2934;orok1268
aeky1238	Aekyom	Aekyom	Awin-Pare	Kamula-Elevala		language	Papunesia	-5.8848	141.5320	kamu1264;awin1249
aeol1234	Aeolic	Aeolic	Greek	Indo-European		dialect				indo1319;grae1234;gree1276;east2798;anci1242
aequ1239	Aequian	Aequian	Italic	Indo-European		dialect				indo1319;ital1284;sabe1249;umbr1253
aerr1238	Aer	Aer	Indic	Indo-European		language	Eurasia	25.2540	69.0290	indo1319;indo1320;indo1321;indo1322;subc1234;guja1255;guja1256;west2830
aewa1238	Aewa (Western Province)	AewaWesternProvince	Marind Proper	Anim		dialect	Papunesia			anim1240;mari1437;boaz1244;kuni1265
afaa1238	Afa	Afa	Defoid	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;defo1239;arig1246
afad1236	Afade	Afade	Biu-Mandara	Afro-Asiatic		language	Africa	12.0551	14.6343	afro1255;chad1250;bium1280;nort3156;koto1267;koto1265;koto1268
afar1241	Afar	Afar	Lowland East Cushitic	Afro-Asiatic		language	Africa	12.2281	41.8083	afro1255;cush1243;east2699;lowl1267;saho1245
afas1238	Af-Ashraaf	AfAshraaf	Lowland East Cushitic	Afro-Asiatic		dialect	Africa			afro1255;cush1243;east2699;lowl1267;sout3055;main1283;omot1245;east2653;soma1255
affa1240	Affade	Affade	Biu-Mandara	Afro-Asiatic		dialect	Africa			afro1255;chad1250;bium1280;nort3156;koto1267;koto1263;lagw1237
affi1239	Affiniam	Affiniam	Northern Atlantic	Atlantic-Congo		dialect	Africa			atla1278;nort3146;cent2230;bakk1238;jool1234;jola1264;gusi1245;band1340
afgh1239	Afghan Sign Language	AfghanSignLanguage	Sign Languages	Sign Language		language	Eurasia	34.4342	70.4478	sign1238;deaf1237
afgh1240	Afghanistan Gorbat	AfghanistanGorbat	Afghanistan Gorbat	Mixed Language (Afghanistan Gorbat)		language	Eurasia			mixe1287;pers1247
afhe1238	Af-Helledi	AfHelledi	Lowland East Cushitic	Afro-Asiatic		dialect	Africa			afro1255;cush1243;east2699;lowl1267;sout3055;main1283;omot1245;east2653;maay1238
afik1238	Afikpo	Afikpo	Igboid	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;igbo1258;igbo1259;nucl1417
afit1238	Afitti	Afitti	Nyimang	Nyimang		language	Africa	12.4460	30.7611	nyim1244
afor1239	Afore	Afore	Koiarian	Koiarian		dialect	Papunesia			koia1260;bara1376;esee1247
afri1271	Afridi	Afridi	Iranian	Indo-European		dialect	Eurasia			indo1319;indo1320;iran1269;pash1269;nucl1276;nort2646;nort2648
afri1272	Afrike	Afrike	Bantoid	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;bant1294;sout3152;bend1256;putu1241
afri1274	Afrikaans	Afrikaans	Germanic	Indo-European		language	Africa	-22.0000	30.0000	indo1319;germ1287;nort3152;west2793;macr1270;midd1347;mode1257;glob1241;afri1273
afro1254	Afro-Seminole Creole	AfroSeminoleCreole	Creoles and Pidgins	Indo-European		language	North America	31.7843	-99.2934	indo1319;germ1287;nort3152;west2793;nort3175;angl1264;angl1265;late1254;merc1242;macr1271;guin1259;cari1284;east2759;gull1242;gull1243
afsh1238	Afshari	Afshari	Turkic	Turkic		dialect	Eurasia			turk1311;comm1245;oghu1243;nucl1769;azer1255;mode1262;sout2697
afud1235	Afudu	Afudu	Platoid	Atlantic-Congo		language	Africa	9.8311	11.2968	atla1278;volt1241;benu1247;benu1248;yuku1244;unun9911
agaa1241	Aga	Aga	Mongolic	Mongolic-Khitan		dialect	Eurasia			mong1349;mong1329;oira1260;oira1264;khal1273;buri1258;mong1330
agal1241	Agalo	Agalo	Gumuz	Gumuz		dialect	Africa			gumu1250;gumu1244
agam1238	Agam	Agam	Malayo-Sumbawan	Austronesian		dialect	Papunesia			aust1307;mala1545;mala1536;nort3170;mala1538;nucl1733;mina1280;mina1268
agan1234	Agan	Agan	Ugric	Uralic		dialect				ural1272;khan1279;east2774;surg1248
agan1235	Agan Nenets	AganNenets	Samoyedic	Uralic		dialect				ural1272;samo1298;enet1251;nene1251;fore1274
agar1249	Agar	Agar	Nilotic	Nilotic		dialect	Africa			nilo1247;west2493;dink1261;dink1262;sout2833
agar1250	Agari of Kolaba	AgariofKolaba	Indic	Indo-European		dialect	Eurasia			indo1319;indo1320;indo1321;indo1325;konk1270;konk1267
agar1252	Agarabi	Agarabi	Eastern Highlands	Nuclear Trans New Guinea		language	Papunesia	-6.2060	145.9170	nucl1709;kain1273;kain1274;gauw1235;gads1260
agat1236	Agatu	Agatu	Idomoid	Atlantic-Congo		language	Africa	7.9791	7.7164	atla1278;volt1241;benu1247;idom1262;etul1244;etul1246;nucl1732
agau1239	Agaunshe	Agaunshe	Kainji	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;kain1275;cent2242;kamb1317;kamb1319;west2828;tsik1238
agba1238	Agbarho	Agbarho	Edoid	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;akpe1249;edoi1239;sout2805;urho1239
agbo1241	Agbome	Agbome	Kwa	Atlantic-Congo		dialect	Africa			atla1278;volt1241;kwav1236;gbee1241;east2711;fong1244;fonn1241
agbo1242	Agbon	Agbon	Edoid	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;akpe1249;edoi1239;sout2805;urho1239
agee1238	Ageer	Ageer	Nilotic	Nilotic		dialect	Africa			nilo1247;west2493;dink1261;dink1262;nort2815
aghe1239	Aghem	Aghem	Bantoid	Atlantic-Congo		language	Africa	6.3896	10.0807	atla1278;volt1241;benu1247;bant1294;sout3152;wide1239;narr1282;ring1243;west2835
agho1238	Agholo	Agholo	Cross River	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;delt1251;cent2028;kugb1242;ogbi1239
aghu1253	Aghul	Aghul	Lezgic	Nakh-Daghestanian		language	Eurasia	41.9242	47.5843	nakh1245;dagh1238;lezg1248;nucl1321;east2790;east2367;aghu1259
aghu1255	Aghu	Aghu	Awju-Dumut	Nuclear Trans New Guinea		language	Papunesia	-6.3467	140.0430	nucl1709;cent2116;awyu1265;grea1275;awyu1263;awyu1264;mapp1234
aghw1237	Aghwan	Aghwan	Lezgic	Nakh-Daghestanian		language	Eurasia	40.3744	47.1267	nakh1245;dagh1238;lezg1248;nucl1321;east2790;udia1235
agii1244	Agi (Moru)	AgiMoru	Moru-Ma'di	Central Sudanic		dialect	Africa			cent2225;moru1252;moru1253
agii1245	Agi	Agi	Wapei-Palei	Nuclear Torricelli		language	Papunesia	-3.4910	142.3870	nucl1708;west2788;agiy1234
agob1244	Agob-Ende-Kawam	AgobEndeKawam	Pahoturi	Pahoturi		language	Papunesia	-9.0852	142.5320	paho1240
agob1245	Agöb	Agob	Pahoturi	Pahoturi		dialect	Papunesia			paho1240;agob1244
agoi1244	Agoi (Gen)	AgoiGen	Kwa	Atlantic-Congo		dialect	Africa			atla1278;volt1241;kwav1236;gbee1241;west2802;genn1243
agoi1246	Agoi	Agoi	Cross River	Atlantic-Congo		language	Africa	5.8795	8.2163	atla1278;volt1241;benu1247;delt1251;uppe1418;agoi1245
