GLOTTOCODE	GLOTTOLOG_NAME	NAME_KEY	GENUS	FAMILY	ISO639Pcode	LEVEL	MACROAREAS	LATITUDE	LONGITUDE	LINEAGE
3adt1234	3Ad-Tekles	3AdTekles	Semitic	Afro-Asiatic		dialect				afro1255;semi1276;west2786;ethi1244;tigr1276;tigr1277;tigr1270;nort3292
aala1237	Aalawa	Aalawa	Oceanic	Austronesian		dialect	Papunesia			aust1307;mala1545;cent2237;east2712;ocea1241;west2818;meso1253;newi1242;stge1234;kand1307;ramo1244
aant1238	Aantantara	Aantantara	Eastern Highlands	Nuclear Trans New Guinea		dialect	Papunesia			nucl1709;kain1273;kain1274;tair1260;nort2920
aari1239	Aari	Aari	South Omotic	South Omotic		language	Africa	5.9503	36.5721	sout2845;ahkk1235;aari1238
aasa1238	Aasax	Aasax	Southern Cushitic	Afro-Asiatic		language	Africa	-4.0068	36.8648	afro1255;cush1243;sout3054;unun9872
aasd1234	Aasdring	Aasdring	Germanic	Indo-European		dialect				indo1319;germ1287;nort3152;west2793;nort3175;angl1264;fris1239;nort2626;insu1255;fohr1234;ferr1240
aata1238	Aatasaara	Aatasaara	Eastern Highlands	Nuclear Trans New Guinea		dialect	Papunesia			nucl1709;kain1273;kain1274;tair1260;sout2943
abaa1238	Rngaba	Rngaba	Bodic	Sino-Tibetan		dialect	Eurasia			sino1245;bodi1256;bodi1257;oldm1245;tibe1276;amdo1237;hbro1238;nort3305
abab1239	Ababda	Ababda	Beja	Afro-Asiatic		dialect	Africa			afro1255;cush1243;beja1238
abad1240	Abadzex	Abadzex	Northwest Caucasian	Abkhaz-Adyge		dialect	Eurasia			abkh1242;circ1239;adyg1241
abad1241	Abadi	Abadi	Oceanic	Austronesian		language	Papunesia	-9.0339	146.9920	aust1307;mala1545;cent2237;east2712;ocea1241;west2818;papu1253;peri1258;cent2070;west2850
abag1245	Abaga	Abaga	Eastern Highlands	Nuclear Trans New Guinea		language	Papunesia	-6.1203	145.6650	nucl1709;kain1273;goro1272;nucl1760;nucl1756;kama1374;unun9976
abai1239	Abai	Abai	North Borneo	Austronesian		dialect	Papunesia			aust1307;mala1545;nort3253;nort3171;kela1257;lund1271
abai1240	Abai Sungai	AbaiSungai	North Borneo	Austronesian		language	Papunesia	5.5539	118.3060	aust1307;mala1545;nort3253;sout3154;grea1293;pait1248
abai1241	Abai Tubu-Abai Sembuak	AbaiTubuAbaiSembuak	North Borneo	Austronesian		language	Papunesia	3.5242	116.1625	aust1307;mala1545;nort3253;sout3154;grea1294;muru1275
abak1242	Abak	Abak	Cross River	Atlantic-Congo		dialect	Africa			atla1278;volt1241;benu1247;delt1251;obol1242;cent2253;efik1244;anaa1238
abak1243	Abaka	Abaka	Northern Luzon	Austronesian		dialect	Papunesia			aust1307;mala1545;nort3238;meso1254;sout3211;sout2907;ilon1239
abal1238	Abaletti	Abaletti	Yele	Yele		dialect	Papunesia			yele1255
